7512565,s0,T1,T2,,Sp1, is a critical factor for the monocytic specific expression of human ,CD14,". 
",Not_a_complex
7512565,s2,T4,T5,In order to study ,CD14," gene regulation, the human ",CD14, gene was cloned from a partial EcoRI digested chromosome 5 library.,Not_a_complex
7512565,s2,T4,T6,In order to study ,CD14," gene regulation, the human CD14 gene was cloned from a partial ",EcoRI, digested chromosome 5 library.,Not_a_complex
7512565,s2,T5,T6,"In order to study CD14 gene regulation, the human ",CD14, gene was cloned from a partial ,EcoRI, digested chromosome 5 library.,Not_a_complex
7512565,s7,T9,T10,The ,Sp1, transcription factor bound to three different regions in the ,CD14, promoter.,Not_a_complex
7512565,s8,T11,T12,Mutation of the major ,Sp1," binding site (-110 bp) decreased tissue-specific promoter activity, and these results, together with transactivation experiments, demonstrate that ",Sp1, plays a critical role in the tissue-specific expression of CD14 in monocytic cells.,Not_a_complex
7512565,s8,T11,T13,Mutation of the major ,Sp1," binding site (-110 bp) decreased tissue-specific promoter activity, and these results, together with transactivation experiments, demonstrate that Sp1 plays a critical role in the tissue-specific expression of ",CD14, in monocytic cells.,Not_a_complex
7512565,s8,T12,T13,"Mutation of the major Sp1 binding site (-110 bp) decreased tissue-specific promoter activity, and these results, together with transactivation experiments, demonstrate that ",Sp1, plays a critical role in the tissue-specific expression of ,CD14, in monocytic cells.,Not_a_complex
7512565,s9,T14,T15,,CD14, ,Sp1," site oligonucleotides bound preferentially to a 105-kDa Sp1 species, which is present in higher relative levels in monocytic than non-monocytic cells, suggesting that modification of Sp1, such as phosphorylation, may explain how the Sp1 site mediates monocytic specific promoter activity.",Not_a_complex
7512565,s9,T14,T16,,CD14, Sp1 site oligonucleotides bound preferentially to a 105-kDa ,Sp1," species, which is present in higher relative levels in monocytic than non-monocytic cells, suggesting that modification of Sp1, such as phosphorylation, may explain how the Sp1 site mediates monocytic specific promoter activity.",Not_a_complex
7512565,s9,T14,T17,,CD14," Sp1 site oligonucleotides bound preferentially to a 105-kDa Sp1 species, which is present in higher relative levels in monocytic than non-monocytic cells, suggesting that modification of ",Sp1,", such as phosphorylation, may explain how the Sp1 site mediates monocytic specific promoter activity.",Not_a_complex
7512565,s9,T14,T18,,CD14," Sp1 site oligonucleotides bound preferentially to a 105-kDa Sp1 species, which is present in higher relative levels in monocytic than non-monocytic cells, suggesting that modification of Sp1, such as phosphorylation, may explain how the ",Sp1, site mediates monocytic specific promoter activity.,Not_a_complex
7512565,s9,T15,T16,CD14 ,Sp1, site oligonucleotides bound preferentially to a 105-kDa ,Sp1," species, which is present in higher relative levels in monocytic than non-monocytic cells, suggesting that modification of Sp1, such as phosphorylation, may explain how the Sp1 site mediates monocytic specific promoter activity.",Not_a_complex
7512565,s9,T15,T17,CD14 ,Sp1," site oligonucleotides bound preferentially to a 105-kDa Sp1 species, which is present in higher relative levels in monocytic than non-monocytic cells, suggesting that modification of ",Sp1,", such as phosphorylation, may explain how the Sp1 site mediates monocytic specific promoter activity.",Not_a_complex
7512565,s9,T15,T18,CD14 ,Sp1," site oligonucleotides bound preferentially to a 105-kDa Sp1 species, which is present in higher relative levels in monocytic than non-monocytic cells, suggesting that modification of Sp1, such as phosphorylation, may explain how the ",Sp1, site mediates monocytic specific promoter activity.,Not_a_complex
7512565,s9,T16,T17,CD14 Sp1 site oligonucleotides bound preferentially to a 105-kDa ,Sp1," species, which is present in higher relative levels in monocytic than non-monocytic cells, suggesting that modification of ",Sp1,", such as phosphorylation, may explain how the Sp1 site mediates monocytic specific promoter activity.",Not_a_complex
7512565,s9,T16,T18,CD14 Sp1 site oligonucleotides bound preferentially to a 105-kDa ,Sp1," species, which is present in higher relative levels in monocytic than non-monocytic cells, suggesting that modification of Sp1, such as phosphorylation, may explain how the ",Sp1, site mediates monocytic specific promoter activity.,Not_a_complex
7512565,s9,T17,T18,"CD14 Sp1 site oligonucleotides bound preferentially to a 105-kDa Sp1 species, which is present in higher relative levels in monocytic than non-monocytic cells, suggesting that modification of ",Sp1,", such as phosphorylation, may explain how the ",Sp1, site mediates monocytic specific promoter activity.,Not_a_complex
