7929104,s0,T1,T29,Regulation of ,interleukin-2 receptor alpha chain, expression and ,nuclear factor.kappa B, activation by protein kinase C in T lymphocytes.,Not_a_complex
7929104,s0,T1,T30,Regulation of ,interleukin-2 receptor alpha chain, expression and nuclear factor.kappa B activation by ,protein kinase C, in T lymphocytes.,Not_a_complex
7929104,s0,T29,T30,Regulation of interleukin-2 receptor alpha chain expression and ,nuclear factor.kappa B, activation by ,protein kinase C, in T lymphocytes.,Not_a_complex
7929104,s2,T24,T25,The regulation of interleukin-2 receptor alpha chain (IL-2R alpha) expression and nuclear factor (NF) activation by ,protein kinase C, (,PKC,") in resting T cells, has been studied.",Not_a_complex
7929104,s2,T31,T24,The regulation of interleukin-2 receptor alpha chain (IL-2R alpha) expression and ,nuclear factor, (NF) activation by ,protein kinase C," (PKC) in resting T cells, has been studied.",Not_a_complex
7929104,s2,T32,T24,The regulation of interleukin-2 receptor alpha chain (IL-2R alpha) expression and nuclear factor (,NF,) activation by ,protein kinase C," (PKC) in resting T cells, has been studied.",Not_a_complex
7929104,s2,T31,T25,The regulation of interleukin-2 receptor alpha chain (IL-2R alpha) expression and ,nuclear factor, (NF) activation by protein kinase C (,PKC,") in resting T cells, has been studied.",Not_a_complex
7929104,s2,T32,T25,The regulation of interleukin-2 receptor alpha chain (IL-2R alpha) expression and nuclear factor (,NF,) activation by protein kinase C (,PKC,") in resting T cells, has been studied.",Not_a_complex
7929104,s2,T3,T24,The regulation of ,interleukin-2 receptor alpha chain, (IL-2R alpha) expression and nuclear factor (NF) activation by ,protein kinase C," (PKC) in resting T cells, has been studied.",Not_a_complex
7929104,s2,T3,T25,The regulation of ,interleukin-2 receptor alpha chain, (IL-2R alpha) expression and nuclear factor (NF) activation by protein kinase C (,PKC,") in resting T cells, has been studied.",Not_a_complex
7929104,s2,T3,T31,The regulation of ,interleukin-2 receptor alpha chain, (IL-2R alpha) expression and ,nuclear factor," (NF) activation by protein kinase C (PKC) in resting T cells, has been studied.",Not_a_complex
7929104,s2,T3,T32,The regulation of ,interleukin-2 receptor alpha chain, (IL-2R alpha) expression and nuclear factor (,NF,") activation by protein kinase C (PKC) in resting T cells, has been studied.",Not_a_complex
7929104,s2,T3,T4,The regulation of ,interleukin-2 receptor alpha chain, (,IL-2R alpha,") expression and nuclear factor (NF) activation by protein kinase C (PKC) in resting T cells, has been studied.",Not_a_complex
7929104,s2,T31,T32,The regulation of interleukin-2 receptor alpha chain (IL-2R alpha) expression and ,nuclear factor, (,NF,") activation by protein kinase C (PKC) in resting T cells, has been studied.",Not_a_complex
7929104,s2,T4,T24,The regulation of interleukin-2 receptor alpha chain (,IL-2R alpha,) expression and nuclear factor (NF) activation by ,protein kinase C," (PKC) in resting T cells, has been studied.",Not_a_complex
7929104,s2,T4,T25,The regulation of interleukin-2 receptor alpha chain (,IL-2R alpha,) expression and nuclear factor (NF) activation by protein kinase C (,PKC,") in resting T cells, has been studied.",Not_a_complex
7929104,s2,T4,T31,The regulation of interleukin-2 receptor alpha chain (,IL-2R alpha,) expression and ,nuclear factor," (NF) activation by protein kinase C (PKC) in resting T cells, has been studied.",Not_a_complex
7929104,s2,T4,T32,The regulation of interleukin-2 receptor alpha chain (,IL-2R alpha,) expression and nuclear factor (,NF,") activation by protein kinase C (PKC) in resting T cells, has been studied.",Not_a_complex
7929104,s3,T11,T12,"Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.p65 or as ",p50,.,c-Rel, heterodimers.,Complex_formation
7929104,s3,T9,T10,"Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as ",p50,.,p65, or as p50.c-Rel heterodimers.,Complex_formation
7929104,s3,T10,T11,"Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.",p65, or as ,p50,.c-Rel heterodimers.,Not_a_complex
7929104,s3,T10,T12,"Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel NF.kappa B proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.",p65, or as p50.,c-Rel, heterodimers.,Not_a_complex
7929104,s3,T28,T10,Treatment of human resting T cells with phorbol esters strongly induced the expression of IL-2R alpha and the activation of NF.kappa B. This activation was due to the translocation of p65 and c-Rel ,NF.kappa B," proteins from cytoplasmic stores to the nucleus, where they bound the kappa B sequence of the IL-2R alpha promoter either as p50.",p65, or as p50.c-Rel heterodimers.,Not_a_complex
