8065341,s0,T1,T2,Identification of functional domains of the ,aryl hydrocarbon receptor nuclear translocator, protein (,ARNT,"). 
",Not_a_complex
8065341,s1,T12,T13,The activated aryl hydrocarbon receptor (,AHR,) and the ,AHR nuclear translocator, (ARNT) bind DNA as a heterodimer.,Complex_formation
8065341,s1,T3,T13,The activated ,aryl hydrocarbon receptor, (AHR) and the ,AHR nuclear translocator, (ARNT) bind DNA as a heterodimer.,Complex_formation
8065341,s1,T3,T4,The activated ,aryl hydrocarbon receptor, (AHR) and the AHR nuclear translocator (,ARNT,) bind DNA as a heterodimer.,Complex_formation
8065341,s1,T12,T4,The activated aryl hydrocarbon receptor (,AHR,) and the AHR nuclear translocator (,ARNT,) bind DNA as a heterodimer.,Complex_formation
8065341,s1,T3,T12,The activated ,aryl hydrocarbon receptor, (,AHR,) and the AHR nuclear translocator (ARNT) bind DNA as a heterodimer.,Not_a_complex
8065341,s1,T13,T4,The activated aryl hydrocarbon receptor (AHR) and the ,AHR nuclear translocator, (,ARNT,) bind DNA as a heterodimer.,Not_a_complex
8065341,s2,T14,T17,Both proteins represent a novel class of basic helix-loop-helix (bHLH)-containing transcription factors in that (i) activation of ,AHR," requires the binding of ligand (e.g., ","2,3,7,8-tetrachlorodibenzo-p-dioxin [TCDD]","), (ii) the xenobiotic responsive element (XRE) recognized by the AHR/ARNT heterodimer differs from the recognition sequence for nearly all other bHLH proteins, and (iii) both proteins contain a PAS homology region, which in the Drosophila PER and SIM proteins functions as a dimerization domain.",Complex_formation
8065341,s2,T15,T5,"Both proteins represent a novel class of basic helix-loop-helix (bHLH)-containing transcription factors in that (i) activation of AHR requires the binding of ligand (e.g., 2,3,7,8-tetrachlorodibenzo-p-dioxin [TCDD]), (ii) the xenobiotic responsive element (XRE) recognized by the ",AHR,/,ARNT," heterodimer differs from the recognition sequence for nearly all other bHLH proteins, and (iii) both proteins contain a PAS homology region, which in the Drosophila PER and SIM proteins functions as a dimerization domain.",Complex_formation
8065341,s2,T14,T15,Both proteins represent a novel class of basic helix-loop-helix (bHLH)-containing transcription factors in that (i) activation of ,AHR," requires the binding of ligand (e.g., 2,3,7,8-tetrachlorodibenzo-p-dioxin [TCDD]), (ii) the xenobiotic responsive element (XRE) recognized by the ",AHR,"/ARNT heterodimer differs from the recognition sequence for nearly all other bHLH proteins, and (iii) both proteins contain a PAS homology region, which in the Drosophila PER and SIM proteins functions as a dimerization domain.",Not_a_complex
8065341,s2,T14,T16,Both proteins represent a novel class of basic helix-loop-helix (bHLH)-containing transcription factors in that (i) activation of ,AHR," requires the binding of ligand (e.g., 2,3,7,8-tetrachlorodibenzo-p-dioxin [TCDD]), (ii) the xenobiotic responsive element (XRE) recognized by the AHR/ARNT heterodimer differs from the recognition sequence for nearly all other bHLH proteins, and (iii) both proteins contain a PAS homology region, which in the Drosophila ",PER, and SIM proteins functions as a dimerization domain.,Not_a_complex
