8797708,s0,T1,T19,Interaction of HTLV-I ,Tax, with the human proteasome: implications for ,NF-kappa B," induction. 
",Not_a_complex
8797708,s3,T3,T4,Even though the mechanisms by which ,Tax," induces transformation are still unknown, it seems likely that the ability of ",Tax, to alter the expression of many cellular genes plays an important part in this process.,Not_a_complex
8797708,s5,T6,T20,One family of host transcription factors whose activity is altered by ,Tax, includes ,NF-kappa B/Rel,.,Not_a_complex
8797708,s6,T21,T23,These transcription factors are post-transcriptionally regulated by their assembly with a second family of inhibitory proteins termed ,I kappa B, that serve to sequester the ,NF-kappa B/Rel, complexes in the cytoplasm.,Not_a_complex
8797708,s7,T7,T25,"Upon cellular activation, ",I kappa B alpha," is phosphorylated, polyubiquitinated, and degraded in the ",proteasome,.,Not_a_complex
8797708,s9,T22,T28,"Similarly, the p105 precursor of the ",NF-kappa B, p50 subunit is also post-translationally processed in the ,proteasome,.,Not_a_complex
8797708,s9,T8,T22,"Similarly, the ",p105, precursor of the ,NF-kappa B, p50 subunit is also post-translationally processed in the proteasome.,Not_a_complex
8797708,s9,T8,T28,"Similarly, the ",p105, precursor of the NF-kappa B p50 subunit is also post-translationally processed in the ,proteasome,.,Not_a_complex
8797708,s9,T8,T9,"Similarly, the ",p105, precursor of the NF-kappa B ,p50, subunit is also post-translationally processed in the proteasome.,Not_a_complex
8797708,s9,T22,T9,"Similarly, the p105 precursor of the ",NF-kappa B, ,p50, subunit is also post-translationally processed in the proteasome.,Not_a_complex
8797708,s9,T9,T28,"Similarly, the p105 precursor of the NF-kappa B ",p50, subunit is also post-translationally processed in the ,proteasome,.,Not_a_complex
8797708,s10,T10,T26,The mechanisms by which ,Tax, activates ,NF-kappa B," remain unclear, and findings presented in the literature are often controversial.",Not_a_complex
8797708,s11,T11,T12,We identified a physical interaction between ,Tax, and the ,HsN3, subunit of the human proteasome.,Complex_formation
8797708,s11,T11,T29,We identified a physical interaction between ,Tax, and the HsN3 subunit of the human ,proteasome,.,Not_a_complex
8797708,s11,T12,T29,We identified a physical interaction between Tax and the ,HsN3, subunit of the human ,proteasome,.,Not_a_complex
8797708,s12,T13,T14,This raises the intriguing possibility that physical association of the ,HsN3, proteasome subunit with HTLV-I ,Tax, coupled with the independent interaction of Tax with either p100 or p65-I kappa B alpha targets these cytoplasmic NF-kappa B/Rel complexes to the proteasome for processing.,Complex_formation
8797708,s12,T15,T16,This raises the intriguing possibility that physical association of the HsN3 proteasome subunit with HTLV-I Tax coupled with the independent interaction of ,Tax, with either ,p100, or p65-I kappa B alpha targets these cytoplasmic NF-kappa B/Rel complexes to the proteasome for processing.,Complex_formation
8797708,s12,T15,T17,This raises the intriguing possibility that physical association of the HsN3 proteasome subunit with HTLV-I Tax coupled with the independent interaction of ,Tax, with either p100 or ,p65,-I kappa B alpha targets these cytoplasmic NF-kappa B/Rel complexes to the proteasome for processing.,Complex_formation
8797708,s12,T15,T18,This raises the intriguing possibility that physical association of the HsN3 proteasome subunit with HTLV-I Tax coupled with the independent interaction of ,Tax, with either p100 or p65-,I kappa B alpha, targets these cytoplasmic NF-kappa B/Rel complexes to the proteasome for processing.,Complex_formation
8797708,s12,T16,T18,This raises the intriguing possibility that physical association of the HsN3 proteasome subunit with HTLV-I Tax coupled with the independent interaction of Tax with either ,p100, or p65-,I kappa B alpha, targets these cytoplasmic NF-kappa B/Rel complexes to the proteasome for processing.,Complex_formation
8797708,s12,T17,T18,This raises the intriguing possibility that physical association of the HsN3 proteasome subunit with HTLV-I Tax coupled with the independent interaction of Tax with either p100 or ,p65,-,I kappa B alpha, targets these cytoplasmic NF-kappa B/Rel complexes to the proteasome for processing.,Complex_formation
8797708,s12,T13,T15,This raises the intriguing possibility that physical association of the ,HsN3, proteasome subunit with HTLV-I Tax coupled with the independent interaction of ,Tax, with either p100 or p65-I kappa B alpha targets these cytoplasmic NF-kappa B/Rel complexes to the proteasome for processing.,Not_a_complex
8797708,s12,T13,T16,This raises the intriguing possibility that physical association of the ,HsN3, proteasome subunit with HTLV-I Tax coupled with the independent interaction of Tax with either ,p100, or p65-I kappa B alpha targets these cytoplasmic NF-kappa B/Rel complexes to the proteasome for processing.,Not_a_complex
8797708,s12,T13,T17,This raises the intriguing possibility that physical association of the ,HsN3, proteasome subunit with HTLV-I Tax coupled with the independent interaction of Tax with either p100 or ,p65,-I kappa B alpha targets these cytoplasmic NF-kappa B/Rel complexes to the proteasome for processing.,Not_a_complex
8797708,s12,T13,T18,This raises the intriguing possibility that physical association of the ,HsN3, proteasome subunit with HTLV-I Tax coupled with the independent interaction of Tax with either p100 or p65-,I kappa B alpha, targets these cytoplasmic NF-kappa B/Rel complexes to the proteasome for processing.,Not_a_complex
8797708,s12,T13,T27,This raises the intriguing possibility that physical association of the ,HsN3, proteasome subunit with HTLV-I Tax coupled with the independent interaction of Tax with either p100 or p65-I kappa B alpha targets these cytoplasmic ,NF-kappa B/Rel, complexes to the proteasome for processing.,Not_a_complex
8797708,s12,T13,T30,This raises the intriguing possibility that physical association of the ,HsN3, ,proteasome, subunit with HTLV-I Tax coupled with the independent interaction of Tax with either p100 or p65-I kappa B alpha targets these cytoplasmic NF-kappa B/Rel complexes to the proteasome for processing.,Not_a_complex
8797708,s12,T13,T31,This raises the intriguing possibility that physical association of the ,HsN3, proteasome subunit with HTLV-I Tax coupled with the independent interaction of Tax with either p100 or p65-I kappa B alpha targets these cytoplasmic NF-kappa B/Rel complexes to the ,proteasome, for processing.,Not_a_complex
8797708,s12,T14,T15,This raises the intriguing possibility that physical association of the HsN3 proteasome subunit with HTLV-I ,Tax, coupled with the independent interaction of ,Tax, with either p100 or p65-I kappa B alpha targets these cytoplasmic NF-kappa B/Rel complexes to the proteasome for processing.,Not_a_complex
8797708,s12,T14,T16,This raises the intriguing possibility that physical association of the HsN3 proteasome subunit with HTLV-I ,Tax, coupled with the independent interaction of Tax with either ,p100, or p65-I kappa B alpha targets these cytoplasmic NF-kappa B/Rel complexes to the proteasome for processing.,Not_a_complex
8797708,s12,T14,T17,This raises the intriguing possibility that physical association of the HsN3 proteasome subunit with HTLV-I ,Tax, coupled with the independent interaction of Tax with either p100 or ,p65,-I kappa B alpha targets these cytoplasmic NF-kappa B/Rel complexes to the proteasome for processing.,Not_a_complex
8797708,s12,T14,T18,This raises the intriguing possibility that physical association of the HsN3 proteasome subunit with HTLV-I ,Tax, coupled with the independent interaction of Tax with either p100 or p65-,I kappa B alpha, targets these cytoplasmic NF-kappa B/Rel complexes to the proteasome for processing.,Not_a_complex
8797708,s12,T14,T27,This raises the intriguing possibility that physical association of the HsN3 proteasome subunit with HTLV-I ,Tax, coupled with the independent interaction of Tax with either p100 or p65-I kappa B alpha targets these cytoplasmic ,NF-kappa B/Rel, complexes to the proteasome for processing.,Not_a_complex
8797708,s12,T30,T14,This raises the intriguing possibility that physical association of the HsN3 ,proteasome, subunit with HTLV-I ,Tax, coupled with the independent interaction of Tax with either p100 or p65-I kappa B alpha targets these cytoplasmic NF-kappa B/Rel complexes to the proteasome for processing.,Not_a_complex
8797708,s12,T14,T31,This raises the intriguing possibility that physical association of the HsN3 proteasome subunit with HTLV-I ,Tax, coupled with the independent interaction of Tax with either p100 or p65-I kappa B alpha targets these cytoplasmic NF-kappa B/Rel complexes to the ,proteasome, for processing.,Not_a_complex
8797708,s12,T15,T27,This raises the intriguing possibility that physical association of the HsN3 proteasome subunit with HTLV-I Tax coupled with the independent interaction of ,Tax, with either p100 or p65-I kappa B alpha targets these cytoplasmic ,NF-kappa B/Rel, complexes to the proteasome for processing.,Not_a_complex
8797708,s12,T30,T15,This raises the intriguing possibility that physical association of the HsN3 ,proteasome, subunit with HTLV-I Tax coupled with the independent interaction of ,Tax, with either p100 or p65-I kappa B alpha targets these cytoplasmic NF-kappa B/Rel complexes to the proteasome for processing.,Not_a_complex
8797708,s12,T15,T31,This raises the intriguing possibility that physical association of the HsN3 proteasome subunit with HTLV-I Tax coupled with the independent interaction of ,Tax, with either p100 or p65-I kappa B alpha targets these cytoplasmic NF-kappa B/Rel complexes to the ,proteasome, for processing.,Not_a_complex
8797708,s12,T16,T17,This raises the intriguing possibility that physical association of the HsN3 proteasome subunit with HTLV-I Tax coupled with the independent interaction of Tax with either ,p100, or ,p65,-I kappa B alpha targets these cytoplasmic NF-kappa B/Rel complexes to the proteasome for processing.,Not_a_complex
8797708,s12,T16,T27,This raises the intriguing possibility that physical association of the HsN3 proteasome subunit with HTLV-I Tax coupled with the independent interaction of Tax with either ,p100, or p65-I kappa B alpha targets these cytoplasmic ,NF-kappa B/Rel, complexes to the proteasome for processing.,Not_a_complex
8797708,s12,T30,T16,This raises the intriguing possibility that physical association of the HsN3 ,proteasome, subunit with HTLV-I Tax coupled with the independent interaction of Tax with either ,p100, or p65-I kappa B alpha targets these cytoplasmic NF-kappa B/Rel complexes to the proteasome for processing.,Not_a_complex
8797708,s12,T16,T31,This raises the intriguing possibility that physical association of the HsN3 proteasome subunit with HTLV-I Tax coupled with the independent interaction of Tax with either ,p100, or p65-I kappa B alpha targets these cytoplasmic NF-kappa B/Rel complexes to the ,proteasome, for processing.,Not_a_complex
8797708,s12,T17,T27,This raises the intriguing possibility that physical association of the HsN3 proteasome subunit with HTLV-I Tax coupled with the independent interaction of Tax with either p100 or ,p65,-I kappa B alpha targets these cytoplasmic ,NF-kappa B/Rel, complexes to the proteasome for processing.,Not_a_complex
8797708,s12,T30,T17,This raises the intriguing possibility that physical association of the HsN3 ,proteasome, subunit with HTLV-I Tax coupled with the independent interaction of Tax with either p100 or ,p65,-I kappa B alpha targets these cytoplasmic NF-kappa B/Rel complexes to the proteasome for processing.,Not_a_complex
8797708,s12,T17,T31,This raises the intriguing possibility that physical association of the HsN3 proteasome subunit with HTLV-I Tax coupled with the independent interaction of Tax with either p100 or ,p65,-I kappa B alpha targets these cytoplasmic NF-kappa B/Rel complexes to the ,proteasome, for processing.,Not_a_complex
8797708,s12,T18,T27,This raises the intriguing possibility that physical association of the HsN3 proteasome subunit with HTLV-I Tax coupled with the independent interaction of Tax with either p100 or p65-,I kappa B alpha, targets these cytoplasmic ,NF-kappa B/Rel, complexes to the proteasome for processing.,Not_a_complex
8797708,s12,T30,T18,This raises the intriguing possibility that physical association of the HsN3 ,proteasome, subunit with HTLV-I Tax coupled with the independent interaction of Tax with either p100 or p65-,I kappa B alpha, targets these cytoplasmic NF-kappa B/Rel complexes to the proteasome for processing.,Not_a_complex
8797708,s12,T18,T31,This raises the intriguing possibility that physical association of the HsN3 proteasome subunit with HTLV-I Tax coupled with the independent interaction of Tax with either p100 or p65-,I kappa B alpha, targets these cytoplasmic NF-kappa B/Rel complexes to the ,proteasome, for processing.,Not_a_complex
8797708,s12,T30,T27,This raises the intriguing possibility that physical association of the HsN3 ,proteasome, subunit with HTLV-I Tax coupled with the independent interaction of Tax with either p100 or p65-I kappa B alpha targets these cytoplasmic ,NF-kappa B/Rel, complexes to the proteasome for processing.,Not_a_complex
8797708,s12,T27,T31,This raises the intriguing possibility that physical association of the HsN3 proteasome subunit with HTLV-I Tax coupled with the independent interaction of Tax with either p100 or p65-I kappa B alpha targets these cytoplasmic ,NF-kappa B/Rel, complexes to the ,proteasome, for processing.,Not_a_complex
8797708,s12,T30,T31,This raises the intriguing possibility that physical association of the HsN3 ,proteasome, subunit with HTLV-I Tax coupled with the independent interaction of Tax with either p100 or p65-I kappa B alpha targets these cytoplasmic NF-kappa B/Rel complexes to the ,proteasome, for processing.,Not_a_complex
