9343210,s0,T1,T2,Transcriptional activation of the ,vascular cell adhesion molecule-1, gene in T lymphocytes expressing human T-cell leukemia virus type 1 ,Tax," protein. 
",Not_a_complex
9343210,s3,T3,T4,Flow cytometry analysis indicated that these cells were expressing high levels of ,vascular cell adhesion molecule 1, (,VCAM-1," [CD106]), a 110-kDa member of the immunoglobulin gene superfamily, first identified on endothelial cells stimulated with inflammatory cytokines.",Not_a_complex
9343210,s3,T3,T5,Flow cytometry analysis indicated that these cells were expressing high levels of ,vascular cell adhesion molecule 1, (VCAM-1 [,CD106,"]), a 110-kDa member of the immunoglobulin gene superfamily, first identified on endothelial cells stimulated with inflammatory cytokines.",Not_a_complex
9343210,s3,T4,T5,Flow cytometry analysis indicated that these cells were expressing high levels of vascular cell adhesion molecule 1 (,VCAM-1, [,CD106,"]), a 110-kDa member of the immunoglobulin gene superfamily, first identified on endothelial cells stimulated with inflammatory cytokines.",Not_a_complex
9343210,s5,T6,T7,The role of the viral trans-activator ,Tax, protein in the induction of ,VCAM-1, was first indicated by the detection of this adhesion molecule on Jurkat T-cell clones stably expressing the tax gene.,Not_a_complex
9343210,s5,T6,T8,The role of the viral trans-activator ,Tax, protein in the induction of VCAM-1 was first indicated by the detection of this adhesion molecule on Jurkat T-cell clones stably expressing the ,tax, gene.,Not_a_complex
9343210,s5,T7,T8,The role of the viral trans-activator Tax protein in the induction of ,VCAM-1, was first indicated by the detection of this adhesion molecule on Jurkat T-cell clones stably expressing the ,tax, gene.,Not_a_complex
9343210,s6,T10,T11,The effect of Tax on ,VCAM-1," gene transcription was next confirmed in JPX-9 cells, a subclone of Jurkat cells, carrying the ",tax, sequences under the control of an inducible promoter.,Not_a_complex
9343210,s6,T9,T10,The effect of ,Tax, on ,VCAM-1," gene transcription was next confirmed in JPX-9 cells, a subclone of Jurkat cells, carrying the tax sequences under the control of an inducible promoter.",Not_a_complex
9343210,s6,T9,T11,The effect of ,Tax," on VCAM-1 gene transcription was next confirmed in JPX-9 cells, a subclone of Jurkat cells, carrying the ",tax, sequences under the control of an inducible promoter.,Not_a_complex
9343210,s7,T12,T13,"Furthermore, deletion and mutation analyses of the ",VCAM-1, promoter performed with ,chloramphenicol acetyltransferase," constructs revealed that Tax was trans activating the VCAM-1 promoter via two NF-kappaB sites present at bp -72 and -57 in the VCAM-1 gene promoter, with both of them being required for the Tax-induced expression of this adhesion molecule.",Not_a_complex
9343210,s7,T12,T14,"Furthermore, deletion and mutation analyses of the ",VCAM-1, promoter performed with chloramphenicol acetyltransferase constructs revealed that ,Tax," was trans activating the VCAM-1 promoter via two NF-kappaB sites present at bp -72 and -57 in the VCAM-1 gene promoter, with both of them being required for the Tax-induced expression of this adhesion molecule.",Not_a_complex
