9755200,s1,T15,T1,Polyhomeotic is a member of the ,Polycomb group, (,Pc-G,) of homeotic repressors.,Not_a_complex
9755200,s4,T6,T3,The ,phP1," allele confers no mutant phenotype, but represses transcription of P-element-induced alleles at the ",yellow, locus.,Not_a_complex
9755200,s5,T7,T5,The ,phP1," allele encodes a chimeric P-PH protein, consisting of the DNA-binding domain of the P element and the ",PH, protein lacking 12 amino-terminal amino acids.,Not_a_complex
9755200,s5,T8,T5,The phP1 allele encodes a chimeric ,P-PH," protein, consisting of the DNA-binding domain of the P element and the ",PH, protein lacking 12 amino-terminal amino acids.,Not_a_complex
9755200,s5,T7,T8,The ,phP1, allele encodes a chimeric ,P-PH," protein, consisting of the DNA-binding domain of the P element and the PH protein lacking 12 amino-terminal amino acids.",Not_a_complex
9755200,s6,T11,T10,"The P-PH, ",Polycomb," (PC), and ",Posterior sex combs," (PSC) proteins were immunohistochemically detected on polytene chromosomes in the regions of P-element insertions. 
",Not_a_complex
9755200,s6,T12,T10,"The P-PH, Polycomb (",PC,"), and ",Posterior sex combs," (PSC) proteins were immunohistochemically detected on polytene chromosomes in the regions of P-element insertions. 
",Not_a_complex
9755200,s6,T10,T13,"The P-PH, Polycomb (PC), and ",Posterior sex combs, (,PSC,") proteins were immunohistochemically detected on polytene chromosomes in the regions of P-element insertions. 
",Not_a_complex
9755200,s6,T11,T12,"The P-PH, ",Polycomb, (,PC,"), and Posterior sex combs (PSC) proteins were immunohistochemically detected on polytene chromosomes in the regions of P-element insertions. 
",Not_a_complex
9755200,s6,T11,T13,"The P-PH, ",Polycomb," (PC), and Posterior sex combs (",PSC,") proteins were immunohistochemically detected on polytene chromosomes in the regions of P-element insertions. 
",Not_a_complex
9755200,s6,T12,T13,"The P-PH, Polycomb (",PC,"), and Posterior sex combs (",PSC,") proteins were immunohistochemically detected on polytene chromosomes in the regions of P-element insertions. 
",Not_a_complex
9755200,s6,T9,T10,The ,P-PH,", Polycomb (PC), and ",Posterior sex combs," (PSC) proteins were immunohistochemically detected on polytene chromosomes in the regions of P-element insertions. 
",Not_a_complex
9755200,s6,T9,T11,The ,P-PH,", ",Polycomb," (PC), and Posterior sex combs (PSC) proteins were immunohistochemically detected on polytene chromosomes in the regions of P-element insertions. 
",Not_a_complex
9755200,s6,T9,T12,The ,P-PH,", Polycomb (",PC,"), and Posterior sex combs (PSC) proteins were immunohistochemically detected on polytene chromosomes in the regions of P-element insertions. 
",Not_a_complex
9755200,s6,T9,T13,The ,P-PH,", Polycomb (PC), and Posterior sex combs (",PSC,") proteins were immunohistochemically detected on polytene chromosomes in the regions of P-element insertions. 
",Not_a_complex
