9812988,s0,T1,T17,,Bcl3,", an ",IkappaB," protein, as a novel transcription coactivator of the retinoid X receptor. 
",Not_a_complex
9812988,s0,T1,T18,,Bcl3,", an IkappaB protein, as a novel transcription coactivator of the ",retinoid X receptor,". 
",Not_a_complex
9812988,s0,T17,T18,"Bcl3, an ",IkappaB," protein, as a novel transcription coactivator of the ",retinoid X receptor,". 
",Not_a_complex
9812988,s1,T2,T20,We have recently shown that the IkappaB protein ,IkappaBbeta, interacted with the ,retinoid X receptor," (RXR) and inhibited the 9-cis-retinoic acid (RA)-dependent transactivations (Na, S.-Y., Kim, H.-J., Lee, S.-K., Choi, H.-S., Na, D. S., Lee, M.-O., Chung, M., Moore, D. D., and Lee, J. W. (1998) J. Biol.",Complex_formation
9812988,s1,T2,T21,We have recently shown that the IkappaB protein ,IkappaBbeta, interacted with the retinoid X receptor (,RXR,") and inhibited the 9-cis-retinoic acid (RA)-dependent transactivations (Na, S.-Y., Kim, H.-J., Lee, S.-K., Choi, H.-S., Na, D. S., Lee, M.-O., Chung, M., Moore, D. D., and Lee, J. W. (1998) J. Biol.",Complex_formation
9812988,s1,T19,T20,We have recently shown that the ,IkappaB, protein IkappaBbeta interacted with the ,retinoid X receptor," (RXR) and inhibited the 9-cis-retinoic acid (RA)-dependent transactivations (Na, S.-Y., Kim, H.-J., Lee, S.-K., Choi, H.-S., Na, D. S., Lee, M.-O., Chung, M., Moore, D. D., and Lee, J. W. (1998) J. Biol.",Not_a_complex
9812988,s1,T19,T21,We have recently shown that the ,IkappaB, protein IkappaBbeta interacted with the retinoid X receptor (,RXR,") and inhibited the 9-cis-retinoic acid (RA)-dependent transactivations (Na, S.-Y., Kim, H.-J., Lee, S.-K., Choi, H.-S., Na, D. S., Lee, M.-O., Chung, M., Moore, D. D., and Lee, J. W. (1998) J. Biol.",Not_a_complex
9812988,s1,T19,T22,We have recently shown that the ,IkappaB, protein IkappaBbeta interacted with the retinoid X receptor (RXR) and inhibited the ,9-cis-retinoic acid," (RA)-dependent transactivations (Na, S.-Y., Kim, H.-J., Lee, S.-K., Choi, H.-S., Na, D. S., Lee, M.-O., Chung, M., Moore, D. D., and Lee, J. W. (1998) J. Biol.",Not_a_complex
9812988,s1,T19,T23,We have recently shown that the ,IkappaB, protein IkappaBbeta interacted with the retinoid X receptor (RXR) and inhibited the 9-cis-retinoic acid (,RA,")-dependent transactivations (Na, S.-Y., Kim, H.-J., Lee, S.-K., Choi, H.-S., Na, D. S., Lee, M.-O., Chung, M., Moore, D. D., and Lee, J. W. (1998) J. Biol.",Not_a_complex
9812988,s1,T19,T2,We have recently shown that the ,IkappaB, protein ,IkappaBbeta," interacted with the retinoid X receptor (RXR) and inhibited the 9-cis-retinoic acid (RA)-dependent transactivations (Na, S.-Y., Kim, H.-J., Lee, S.-K., Choi, H.-S., Na, D. S., Lee, M.-O., Chung, M., Moore, D. D., and Lee, J. W. (1998) J. Biol.",Not_a_complex
9812988,s1,T2,T22,We have recently shown that the IkappaB protein ,IkappaBbeta, interacted with the retinoid X receptor (RXR) and inhibited the ,9-cis-retinoic acid," (RA)-dependent transactivations (Na, S.-Y., Kim, H.-J., Lee, S.-K., Choi, H.-S., Na, D. S., Lee, M.-O., Chung, M., Moore, D. D., and Lee, J. W. (1998) J. Biol.",Not_a_complex
9812988,s1,T2,T23,We have recently shown that the IkappaB protein ,IkappaBbeta, interacted with the retinoid X receptor (RXR) and inhibited the 9-cis-retinoic acid (,RA,")-dependent transactivations (Na, S.-Y., Kim, H.-J., Lee, S.-K., Choi, H.-S., Na, D. S., Lee, M.-O., Chung, M., Moore, D. D., and Lee, J. W. (1998) J. Biol.",Not_a_complex
9812988,s1,T20,T21,We have recently shown that the IkappaB protein IkappaBbeta interacted with the ,retinoid X receptor, (,RXR,") and inhibited the 9-cis-retinoic acid (RA)-dependent transactivations (Na, S.-Y., Kim, H.-J., Lee, S.-K., Choi, H.-S., Na, D. S., Lee, M.-O., Chung, M., Moore, D. D., and Lee, J. W. (1998) J. Biol.",Not_a_complex
9812988,s1,T20,T22,We have recently shown that the IkappaB protein IkappaBbeta interacted with the ,retinoid X receptor, (RXR) and inhibited the ,9-cis-retinoic acid," (RA)-dependent transactivations (Na, S.-Y., Kim, H.-J., Lee, S.-K., Choi, H.-S., Na, D. S., Lee, M.-O., Chung, M., Moore, D. D., and Lee, J. W. (1998) J. Biol.",Not_a_complex
9812988,s1,T20,T23,We have recently shown that the IkappaB protein IkappaBbeta interacted with the ,retinoid X receptor, (RXR) and inhibited the 9-cis-retinoic acid (,RA,")-dependent transactivations (Na, S.-Y., Kim, H.-J., Lee, S.-K., Choi, H.-S., Na, D. S., Lee, M.-O., Chung, M., Moore, D. D., and Lee, J. W. (1998) J. Biol.",Not_a_complex
9812988,s1,T21,T22,We have recently shown that the IkappaB protein IkappaBbeta interacted with the retinoid X receptor (,RXR,) and inhibited the ,9-cis-retinoic acid," (RA)-dependent transactivations (Na, S.-Y., Kim, H.-J., Lee, S.-K., Choi, H.-S., Na, D. S., Lee, M.-O., Chung, M., Moore, D. D., and Lee, J. W. (1998) J. Biol.",Not_a_complex
9812988,s1,T21,T23,We have recently shown that the IkappaB protein IkappaBbeta interacted with the retinoid X receptor (,RXR,) and inhibited the 9-cis-retinoic acid (,RA,")-dependent transactivations (Na, S.-Y., Kim, H.-J., Lee, S.-K., Choi, H.-S., Na, D. S., Lee, M.-O., Chung, M., Moore, D. D., and Lee, J. W. (1998) J. Biol.",Not_a_complex
9812988,s1,T22,T23,We have recently shown that the IkappaB protein IkappaBbeta interacted with the retinoid X receptor (RXR) and inhibited the ,9-cis-retinoic acid, (,RA,")-dependent transactivations (Na, S.-Y., Kim, H.-J., Lee, S.-K., Choi, H.-S., Na, D. S., Lee, M.-O., Chung, M., Moore, D. D., and Lee, J. W. (1998) J. Biol.",Not_a_complex
9812988,s4,T3,T25,"Herein, we show that a distinct IkappaB protein ",Bcl3, also interacts with ,RXR,", as shown in the yeast two-hybrid tests and glutathione S-transferase pull-down assays.",Complex_formation
9812988,s4,T24,T25,"Herein, we show that a distinct ",IkappaB, protein Bcl3 also interacts with ,RXR,", as shown in the yeast two-hybrid tests and glutathione S-transferase pull-down assays.",Not_a_complex
9812988,s4,T24,T3,"Herein, we show that a distinct ",IkappaB, protein ,Bcl3," also interacts with RXR, as shown in the yeast two-hybrid tests and glutathione S-transferase pull-down assays.",Not_a_complex
9812988,s4,T3,T4,"Herein, we show that a distinct IkappaB protein ",Bcl3," also interacts with RXR, as shown in the yeast two-hybrid tests and ",glutathione S-transferase, pull-down assays.,Not_a_complex
9812988,s4,T24,T4,"Herein, we show that a distinct ",IkappaB," protein Bcl3 also interacts with RXR, as shown in the yeast two-hybrid tests and ",glutathione S-transferase, pull-down assays.,Not_a_complex
9812988,s4,T25,T4,"Herein, we show that a distinct IkappaB protein Bcl3 also interacts with ",RXR,", as shown in the yeast two-hybrid tests and ",glutathione S-transferase, pull-down assays.,Not_a_complex
9812988,s5,T5,T26,The ,Bcl3, interaction involved two distinct subregions of ,RXR,", i.e. constitutive interactions of the N-terminal ABC domains and 9-cis-RA-dependent interactions of the C-terminal DEF domains.",Complex_formation
9812988,s5,T26,T27,The Bcl3 interaction involved two distinct subregions of ,RXR,", i.e. constitutive interactions of the N-terminal ABC domains and ",9-cis-RA,-dependent interactions of the C-terminal DEF domains.,Not_a_complex
9812988,s5,T5,T27,The ,Bcl3," interaction involved two distinct subregions of RXR, i.e. constitutive interactions of the N-terminal ABC domains and ",9-cis-RA,-dependent interactions of the C-terminal DEF domains.,Not_a_complex
9812988,s6,T6,T28,In contrast to ,IkappaBbeta,", Bcl3 did not interact with the AF2 domain of ",RXR,.,Complex_formation
9812988,s6,T6,T7,In contrast to ,IkappaBbeta,", ",Bcl3, did not interact with the AF2 domain of RXR.,Not_a_complex
9812988,s6,T7,T28,"In contrast to IkappaBbeta, ",Bcl3, did not interact with the AF2 domain of ,RXR,.,Not_a_complex
9812988,s7,T8,T10,,Bcl3," specifically interacted with the general transcription factors TFIIB, ",TBP,", and TFIIA but not with TFIIEalpha in the GST pull-down assays.",Complex_formation
9812988,s7,T8,T29,,Bcl3," specifically interacted with the general transcription factors TFIIB, TBP, and ",TFIIA, but not with TFIIEalpha in the GST pull-down assays.,Complex_formation
9812988,s7,T8,T9,,Bcl3, specifically interacted with the general transcription factors ,TFIIB,", TBP, and TFIIA but not with TFIIEalpha in the GST pull-down assays.",Complex_formation
9812988,s7,T10,T29,"Bcl3 specifically interacted with the general transcription factors TFIIB, ",TBP,", and ",TFIIA, but not with TFIIEalpha in the GST pull-down assays.,Not_a_complex
9812988,s7,T10,T30,"Bcl3 specifically interacted with the general transcription factors TFIIB, ",TBP,", and TFIIA but not with ",TFIIEalpha, in the GST pull-down assays.,Not_a_complex
9812988,s7,T10,T31,"Bcl3 specifically interacted with the general transcription factors TFIIB, ",TBP,", and TFIIA but not with TFIIEalpha in the ",GST, pull-down assays.,Not_a_complex
9812988,s7,T29,T30,"Bcl3 specifically interacted with the general transcription factors TFIIB, TBP, and ",TFIIA, but not with ,TFIIEalpha, in the GST pull-down assays.,Not_a_complex
9812988,s7,T29,T31,"Bcl3 specifically interacted with the general transcription factors TFIIB, TBP, and ",TFIIA, but not with TFIIEalpha in the ,GST, pull-down assays.,Not_a_complex
